Serial, Mutex_t1, Mutex_t2, Mutex_t4, Mutex_t8, RWLock_t1, RWLock_t2, RWLock_t4, RWLock_t8
77746,55861,39222,39561
81287,57340,42380,38220
71849,57418,40625,38460
67864,56643,40501,36503
75306,59915,39947,36648
74181,62154,41945,39539
67736,57878,39757,36983
68423,52732,41853,34388
68340,52634,39003,36313
69664,59841,38388,36073
70731,56615,37483,33563
67426,55766,39846,33997
66931,53863,42596,34504
68598,53464,38565,32937
70304,54278,39249,35754
65865,53334,38022,33217
66315,52008,42484,34893
65475,52409,39146,36363
67358,59021,40467,34134
69145,56676,41474,35294
65779,53192,40195,33141
65901,56327,42360,36377
74080,58443,43611,36479
68536,54404,38715,34381
67808,54100,39874,39036
73867,59217,45745,37384
78978,63573,44895,36815
74258,59849,42314,36679
69948,55513,41397,35104
71510,55605,39841,38843
75953,66987,44449,40593
81472,61578,43933,38299
79642,63175,44058,39176
78765,60182,40974,38876
75976,60516,39990,38119
76167,65125,43027,39907
72363,57933,41695,36826
72126,56580,39859,35936
67392,55977,40076,35457
68984,59573,39458,33794
69137,53803,38736,34840
68524,53425,38974,34407
66613,53420,42629,37748
75319,59601,39152,35911
68871,55251,41490,33539
65858,56681,38148,36400
66169,53233,39436,33566
64698,53086,39923,35519
65432,55961,37195,32676
65059,54399,39385,36897
69107,53689,40561,35832
65071,51911,38754,32837
65600,56736,40545,35156
65406,53137,36713,35119
64728,52399,39838,32385
70860,57041,37100,33608
67112,51098,39406,33897
64249,50525,39184,34100
65255,52528,39019,35780
65601,53321,37203,32711
65625,50535,37437,34108
67655,53820,36723,35239
65939,51835,38464,32437
66605,53636,38877,32861
66023,51195,37899,32753
65699,50839,35331,33209
64843,56646,37446,33705
66820,52863,41603,32343
65350,51870,39816,33457
66244,53220,40759,34987
65647,53625,36739,33716
66014,51317,36990,35746
65126,54928,38056,32182
65234,52021,38606,34059
71479,55576,37788,36434
65474,53292,39136,33351
65353,53737,40609,32118
63513,51493,37452,33290
66137,55224,38620,33140
68601,52704,40398,36767
69433,57956,42425,32809
66409,51390,42422,33193
66917,53445,36988,35324
65377,52232,37290,34983
74266,56853,39921,33698
64472,51843,37129,34436
67786,51344,37628,36189
64876,54087,37705,33189
66754,54128,37099,33731
65569,54641,39385,32768
68112,60017,37546,34232
66899,56978,39725,35528
65396,52755,37102,32403
65795,52775,37277,34993
66421,52255,37255,32815
67112,52232,35575,33337
77404,60294,38311,36439
67555,51081,40130,32659
65955,51972,39926,32018
65236,51916,36813,32265
66377,53398,38252,34757
65514,50195,41187,31128
66958,54647,38713,32321
71013,56241,38657,33668
67788,53793,38754,34703
64941,50434,37854,35841
66414,54091,35614,32797
66825,52914,40728,33370
64865,53973,37071,35659
64265,52590,40159,35092
78185,57374,42526,33614
65370,52200,38232,35888
66274,59446,38992,36281
65972,51395,40659,32848
65960,54071,39921,34802
66217,54970,38434,33093
67487,53571,38180,32549
66481,51299,39593,33949
65395,51904,37247,34113
66274,53039,36105,33349
67585,52499,36429,36005
65288,53939,35562,34261
64496,52919,38866,34408
64528,53192,37614,33920
67027,51736,36753,32564
66258,54005,37684,35298
65395,52637,35899,33342
66123,57802,40776,33785
66695,54054,37861,35047
64573,56281,39253,35135
65671,51834,41545,34495
65685,53287,38101,39742
65717,57580,38557,35094
66165,50764,35999,33326
74459,55526,36819,33675
65685,51050,38386,34852
65514,53015,39137,36020
69827,53733,38561,33166
65865,56193,36032,32608
65503,52088,38320,34138
65825,52145,38886,33316
66850,54314,38324,32606
65948,54222,39030,33950
64864,54102,38306,33425
66075,52610,39229,31934
68526,52528,38126,32615
68052,52256,36144,34852
66254,55785,36385,34566
64979,53142,37710,34561
65086,53363,38308,34030
66940,53717,36105,34228
65388,53088,37992,33250
67734,54209,41402,32656
66187,50727,39719,33452
67049,52147,37222,34264
65603,53802,36777,33884
66200,52879,39761,33404
72771,52412,38944,34930
72025,55571,41903,33531
65569,52855,39254,33333
65757,51485,41614,32864
70441,62290,40793,33931
66260,53531,38585,33867
66118,52179,41158,32266
68233,52953,40708,32940
72606,50862,38213,31539
65681,53608,38481,35249
65914,55465,37252,32433
65029,54487,38149,31994
66272,64403,38449,33635
64814,53626,37965,32143
64483,53166,37620,34082
65295,53939,36317,34689
66779,51660,40617,33059
76485,57010,38682,34292
64941,54286,38124,36836
66939,53081,38414,32606
67349,53841,35839,33780
65073,55782,37051,33049
64652,52815,38643,32779
68060,52537,39343,32240
65715,52552,37626,32886
70341,52457,44469,34000
66249,56096,41771,33790
64042,51718,37503,34394
76573,51885,45743,33791
66193,52124,38566,31802
73275,67230,38299,33250
65278,53920,37612,32716
73215,50873,42124,35282
66252,60351,37071,34478
83794,59606,41347,36192
66905,55468,39547,36345
66410,56557,39404,32963
70531,52524,42873,37334
67398,55233,36163,32873
65584,54354,37563,33318
67773,54013,37757,35581
69643,55051,37750,33951
64950,52956,38079,32957
72168,49435,39130,35537
65221,52889,38262,33911
70273,76666,38089,31496
65100,53417,40196,32189
75070,52958,39167,36047
64576,51156,39162,34447
81128,68115,37320,33131
67781,52715,37566,32285
98950,58164,36522,33222
71354,52551,46744,32743
65342,54095,38540,35065
64932,57431,38722,42010
74910,56329,36626,32990
70028,53497,51922,34018
70379,52700,42627,33340
85413,51147,39063,33466
66097,52325,38202,31496
90668,54564,41981,38417
67311,50864,38501,34709
65532,54378,42126,44135
72714,57541,42871,31847
96229,53533,39642,33201
66362,51686,39964,32019
71929,54784,40860,32013
65475,60857,37440,33835
65609,52951,38344,34712
76534,56169,50860,35385
66635,55852,47935,37778
88862,52621,39050,35534
66022,59109,43577,33091
64527,51551,37709,33566
64812,52917,38553,32914
66101,52016,39242,32760
